song,joy,anger,fear,sadness,surprise
Glass Eyes,0.08054443448781967,0.07793067395687103,0.38056522607803345,0.44834059476852417,0.012619073502719402
The Butcher,0.24363230168819427,0.05651330202817917,0.08707047253847122,0.38924306631088257,0.22354085743427277
Knives Out,0.03373309224843979,0.4874590039253235,0.06465166807174683,0.3982155919075012,0.015940602868795395
Morning Mr. Magpie,0.15550518035888672,0.1918414831161499,0.11446768045425415,0.4996708333492279,0.038514867424964905
The Daily Mail,0.1332884430885315,0.17008621990680695,0.1383422613143921,0.41900455951690674,0.13927850127220154
Staircase,0.1058606430888176,0.15362249314785004,0.2640655040740967,0.38232940435409546,0.09412196278572083
Lurgee,0.0777585357427597,0.07033362984657288,0.264191210269928,0.17096465826034546,0.4167519807815552
Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,0.09692666679620743,0.2918684780597687,0.10853129625320435,0.48219066858291626,0.020482845604419708
Paperbag Writer,0.017687423154711723,0.660312831401825,0.05814998969435692,0.24598807096481323,0.017861666157841682
Maquiladora,0.15425311028957367,0.20918315649032593,0.14989134669303894,0.4768936336040497,0.009778755716979504
Trans-Atlantic Drawl,0.30202755331993103,0.15328288078308105,0.20897379517555237,0.29491689801216125,0.04079887270927429
Videotape,0.10448768734931946,0.19126152992248535,0.3395538032054901,0.34541502594947815,0.01928187534213066
Pyramid Song,0.05702453479170799,0.09349517524242401,0.18395984172821045,0.6497900485992432,0.015730468556284904
Morning Bell,0.08778509497642517,0.17810805141925812,0.07975545525550842,0.617566704750061,0.03678469359874725
The Tourist,0.012322654016315937,0.6385535597801208,0.0781489759683609,0.25940343737602234,0.011571369133889675
Banana Co,0.1870305836200714,0.15841731429100037,0.11948338150978088,0.4618875980377197,0.07318115234375
Cuttooth,0.04645036160945892,0.35069721937179565,0.07833947241306305,0.5190743803977966,0.0054385545663535595
Sit Down. Stand Up,0.22432275116443634,0.2894059419631958,0.2462424337863922,0.2381347417831421,0.0018941202433779836
Jigsaw Falling into Place,0.030124422162771225,0.2031857967376709,0.11472472548484802,0.6477448344230652,0.004220207687467337
Street Spirit (Fade Out),0.15708628296852112,0.23112285137176514,0.04478313773870468,0.5457184314727783,0.02128930762410164
The Bends,0.1022670790553093,0.14269155263900757,0.3599584102630615,0.3797864317893982,0.015296582132577896
In Limbo,0.042001884430646896,0.5614317655563354,0.06554785370826721,0.31120675802230835,0.01981169916689396
Ripcord,0.05465137958526611,0.2626531422138214,0.20976805686950684,0.44993385672569275,0.022993477061390877
Give Up the Ghost,0.010477344505488873,0.10542266070842743,0.10425953567028046,0.7766506671905518,0.0031898103188723326
We Suck Young Blood,0.07349442690610886,0.08295635879039764,0.6346470713615417,0.20388442277908325,0.0050177257508039474
15 Step,0.07147939503192902,0.31072258949279785,0.16705062985420227,0.4427316188812256,0.008015746250748634
Treefingers,0.20930799841880798,0.1898932158946991,0.2216971516609192,0.16312775015830994,0.215973898768425
Weird Fishes/Arpeggi,0.0649046078324318,0.16611185669898987,0.12293435633182526,0.6359696984291077,0.010079499334096909
(Nice Dream),0.4441053569316864,0.03612788766622543,0.15953455865383148,0.33492690324783325,0.025305327028036118
Worrywort,0.38106590509414673,0.1747255176305771,0.08262592554092407,0.340708464384079,0.0208742693066597
Polyethylene (Parts 1 & 2),0.04553723335266113,0.33046478033065796,0.23982033133506775,0.37842094898223877,0.005756748840212822
Lift,0.09108808636665344,0.389667809009552,0.1959143579006195,0.31823617219924927,0.00509357824921608
The Amazing Sounds of Orgy,0.6245761513710022,0.11430742591619492,0.039519429206848145,0.2094627171754837,0.012134328484535217
Pop Is Dead,0.0592208206653595,0.1743530035018921,0.18282315135002136,0.4631820023059845,0.12042105197906494
Lozenge of Love,0.015022233128547668,0.4754832684993744,0.09088390320539474,0.4146960973739624,0.0039144353941082954
Optimistic,0.046979423612356186,0.09523171931505203,0.5475931763648987,0.27274051308631897,0.037455178797245026
Anyone Can Play Guitar,0.025403011590242386,0.26361340284347534,0.05793816223740578,0.6468706130981445,0.006174780428409576
Morning Bell/Amnesiac,0.1507820188999176,0.40011802315711975,0.15284714102745056,0.28450289368629456,0.01174995768815279
A Wolf at the Door,0.07363423705101013,0.387167364358902,0.11947450041770935,0.4127253293991089,0.006998552940785885
You Never Wash Up After Yourself,0.0382283553481102,0.6461547613143921,0.06161140277981758,0.24951976537704468,0.004485718905925751
I Will,0.19438357651233673,0.16075056791305542,0.1826513558626175,0.38228529691696167,0.07992921769618988
India Rubber,0.12107259780168533,0.21310728788375854,0.13430126011371613,0.4982345700263977,0.033284276723861694
Identikit,0.02249663695693016,0.14499586820602417,0.05219385772943497,0.775367021560669,0.0049466355703771114
Life in a Glasshouse,0.07031074166297913,0.18225067853927612,0.05154915899038315,0.6534110307693481,0.04247848689556122
Like Spinning Plates,0.1620972603559494,0.23776552081108093,0.19879508018493652,0.39647072553634644,0.004871365148574114
Dollars and Cents,0.058041319251060486,0.19136971235275269,0.09484241902828217,0.6436461210250854,0.01210042368620634
Last Flowers,0.03311619907617569,0.5281562209129333,0.11537344753742218,0.3211548924446106,0.0021991862449795008
Palo Alto,0.08255204558372498,0.2741512358188629,0.4765699803829193,0.15901561081409454,0.007711182348430157
Desert Island Disk,0.21216066181659698,0.18403899669647217,0.29127565026283264,0.24946290254592896,0.06306176632642746
Sulk,0.08024109154939651,0.2413598597049713,0.0752042755484581,0.5804764628410339,0.022718315944075584
I Might Be Wrong,0.08343587815761566,0.2921138405799866,0.1415899395942688,0.4587704539299011,0.024089861661195755
Up on the Ladder,0.030153542757034302,0.6960539817810059,0.08311785012483597,0.18688514828681946,0.0037894658744335175
Blow Out,0.052487920969724655,0.09329698979854584,0.22443172335624695,0.6267731189727783,0.0030102126765996218
Fog (Again),0.02657603658735752,0.1283072531223297,0.19234058260917664,0.6148666143417358,0.037909504026174545
How Do You?,0.023631153628230095,0.30538320541381836,0.22044271230697632,0.40061092376708984,0.04993201047182083
Sail to the Moon,0.2906295657157898,0.07171327620744705,0.15515990555286407,0.46366578340530396,0.01883147656917572
Feral,0.20930799841880798,0.1898932158946991,0.2216971516609192,0.16312775015830994,0.215973898768425
Nude,0.017212815582752228,0.38097646832466125,0.19093260169029236,0.39453747868537903,0.01634066551923752
Lotus Flower,0.09261458367109299,0.29053524136543274,0.22662578523159027,0.38204896450042725,0.008175455033779144
Idioteque,0.04092072695493698,0.22189797461032867,0.501866340637207,0.23011285066604614,0.005202073138207197
Lewis (Mistreated),0.04360116645693779,0.40034815669059753,0.1101471334695816,0.42420288920402527,0.02170068398118019
Karma Police,0.028497973456978798,0.07358305156230927,0.13026462495326996,0.762860894203186,0.004793386906385422
Climbing Up the Walls,0.09294117987155914,0.4338846206665039,0.10238710045814514,0.3641095757484436,0.006677490659058094
All I Need,0.027127880603075027,0.5606790781021118,0.1206216812133789,0.2765040695667267,0.01506727747619152
Packt Like Sardines in a Crushd Tin Box,0.11590023338794708,0.38804399967193604,0.28029608726501465,0.1981363594532013,0.017623312771320343
Present Tense,0.025638984516263008,0.1555309295654297,0.10216512531042099,0.7080346345901489,0.008630340918898582
The National Anthem,0.05979817360639572,0.20218750834465027,0.2411668300628662,0.39422494173049927,0.1026226207613945
I Am Citizen Insane,0.20930799841880798,0.1898932158946991,0.2216971516609192,0.16312775015830994,0.215973898768425
Where Bluebirds Fly,0.03157912194728851,0.2681571841239929,0.23278886079788208,0.43828171491622925,0.02919314056634903
4 Minute Warning,0.038349613547325134,0.2531214952468872,0.5081718564033508,0.19186274707317352,0.008494243025779724
How to Disappear Completely,0.025835324078798294,0.3005814850330353,0.22657647728919983,0.4287397861480713,0.01826687715947628
Hunting Bears,0.20930799841880798,0.1898932158946991,0.2216971516609192,0.16312775015830994,0.215973898768425
Codex,0.031214894726872444,0.3749138414859772,0.06937910616397858,0.5195300579071045,0.004962078295648098
Permanent Daylight,0.05097363889217377,0.44643324613571167,0.09765930473804474,0.3803739547729492,0.02455984614789486
Just,0.013666335493326187,0.41945332288742065,0.10210911929607391,0.46188321709632874,0.002887978684157133
Ful Stop,0.022899415343999863,0.3309735655784607,0.08839458227157593,0.5491792559623718,0.008553150109946728
House of Cards,0.021205537021160126,0.46525806188583374,0.16016948223114014,0.35017359256744385,0.003193299053236842
Fast-Track,0.15799309313297272,0.45007413625717163,0.05939815193414688,0.2680765390396118,0.06445808708667755
The Gloaming,0.014217833057045937,0.7752190828323364,0.06122010946273804,0.14818894863128662,0.0011540594277903438
Decks Dark,0.052122753113508224,0.4851498007774353,0.09847727417945862,0.35567963123321533,0.008570520207285881
I Am a Wicked Child,0.12259750813245773,0.25406354665756226,0.16922414302825928,0.4490499496459961,0.005064878147095442
Airbag,0.22220754623413086,0.14882494509220123,0.13078118860721588,0.4419720768928528,0.056214261800050735
High and Dry,0.053865477442741394,0.5843308568000793,0.050192058086395264,0.29442474246025085,0.017186854034662247
How I Made My Millions,0.059006378054618835,0.36165371537208557,0.2176285833120346,0.3485242426395416,0.013187119737267494
True Love Waits,0.04684281349182129,0.6034749150276184,0.033480335026979446,0.31415048241615295,0.0020514221396297216
Kid A,0.07947690784931183,0.2903039753437042,0.03442150354385376,0.5883533358573914,0.007444310933351517
These Are My Twisted Words,0.005881980061531067,0.7835156917572021,0.06064978986978531,0.14727386832237244,0.002678699791431427
Thinking About You,0.053376685827970505,0.24506784975528717,0.06176383048295975,0.6024826169013977,0.037309035658836365
Scatterbrain,0.0151758948341012,0.5769848823547363,0.09802769124507904,0.30691957473754883,0.0028918981552124023
How Can You Be Sure?,0.05621041730046272,0.22194622457027435,0.29971110820770264,0.40362250804901123,0.018509751185774803
The Trickster,0.20533350110054016,0.13122966885566711,0.0885678231716156,0.3328019976615906,0.24206703901290894
MK 2,0.20930799841880798,0.1898932158946991,0.2216971516609192,0.16312775015830994,0.215973898768425
You,0.09078855812549591,0.14655271172523499,0.09370657801628113,0.6547671556472778,0.01418500766158104
Molasses,0.12049834430217743,0.4027758836746216,0.11056474596261978,0.35896363854408264,0.00719740055501461
Creep,0.02070881426334381,0.18294841051101685,0.06114638224244118,0.7308393716812134,0.004357031546533108
I Promise,0.049747221171855927,0.22015191614627838,0.08483521640300751,0.6194131374359131,0.025852490216493607
Motion Picture Soundtrack,0.16713032126426697,0.15989381074905396,0.13246190547943115,0.5235614776611328,0.016952482983469963
Daydreaming,0.05504912883043289,0.26717817783355713,0.06422652304172516,0.6113141775131226,0.002231940859928727
Kinetic,0.10318046063184738,0.5416971445083618,0.15731181204319,0.19291150569915771,0.0048990994691848755
A Reminder,0.03705117106437683,0.4830677807331085,0.22070038318634033,0.23306778073310852,0.026112858206033707
Fitter Happier,0.10706189274787903,0.2053014636039734,0.2852925956249237,0.3935924172401428,0.008751634508371353
Black Star,0.058606959879398346,0.346962571144104,0.1682208925485611,0.40436142683029175,0.02184811607003212
My Iron Lung,0.04515739530324936,0.5229776501655579,0.15323007106781006,0.2759907841682434,0.002644126769155264
Burn the Witch,0.03639259934425354,0.15363572537899017,0.6112042665481567,0.19386519491672516,0.004902244545519352
Faithless the Wonderboy,0.01984517276287079,0.35940229892730713,0.3690298795700073,0.24818041920661926,0.00354221579618752
Harry Patch (In Memory Of),0.043255824595689774,0.21489018201828003,0.11928772181272507,0.6140536665916443,0.00851250160485506
Myxomatosis,0.052764829248189926,0.22640132904052734,0.09653894603252411,0.5922514796257019,0.032043375074863434
Bishop's Robes,0.03404063731431961,0.31548094749450684,0.1184181496500969,0.5183784365653992,0.013681760057806969
Backdrifts,0.07223240286111832,0.18813267350196838,0.10192954540252686,0.624665379524231,0.013039959594607353
I Can't,0.030344221740961075,0.3832606077194214,0.17747941613197327,0.3909856379032135,0.01793009601533413
A Punchup at a Wedding,0.004920147825032473,0.38892248272895813,0.019881993532180786,0.4917985796928406,0.09447677433490753
Gagging Order,0.0891372486948967,0.14108699560165405,0.18267863988876343,0.5323981642723083,0.054698921740055084
Reckoner,0.0911731943488121,0.36771905422210693,0.09322822093963623,0.443928062915802,0.0039515006355941296
Vegetable,0.010544288903474808,0.5140225291252136,0.09414511173963547,0.3789711892604828,0.002316852565854788
Exit Music (For A Film),0.022376084700226784,0.2951837182044983,0.4506082832813263,0.22457996010780334,0.007251952309161425
Fog,0.02657603658735752,0.1283072531223297,0.19234058260917664,0.6148666143417358,0.037909504026174545
Bones,0.07920350879430771,0.20275026559829712,0.06271708011627197,0.604534387588501,0.05079471692442894
2 + 2 = 5,0.05281505361199379,0.2508712410926819,0.1240280345082283,0.5659937262535095,0.006291911005973816
Everything In Its Right Place,0.03713358938694,0.49468258023262024,0.05208970606327057,0.4121621549129486,0.003931986168026924
Bloom,0.035790618509054184,0.4306201934814453,0.18901914358139038,0.33710426092147827,0.007465816102921963
Electioneering,0.079154834151268,0.24485689401626587,0.4021902084350586,0.26872098445892334,0.005077044479548931
Paranoid Android,0.07536593824625015,0.2141650915145874,0.14349748194217682,0.4553266763687134,0.11164478212594986
Man of War,0.22069761157035828,0.2855125665664673,0.09911870211362839,0.3750881254673004,0.01958298683166504
No Surprises,0.12715351581573486,0.06581385433673859,0.250946968793869,0.42503035068511963,0.1310552954673767
Fake Plastic Trees,0.03724164515733719,0.47989553213119507,0.14768949151039124,0.3309890031814575,0.004184307996183634
Bullet Proof ... I Wish I Was,0.030467934906482697,0.32437533140182495,0.0820433497428894,0.5605238080024719,0.0025895244907587767
Where I End and You Begin,0.07782286405563354,0.07468101382255554,0.22136721014976501,0.6105518341064453,0.01557714119553566
Meeting in the Aisle,0.20930799841880798,0.1898932158946991,0.2216971516609192,0.16312775015830994,0.215973898768425
Talk Show Host,0.07889416068792343,0.12611344456672668,0.6535752415657043,0.12694180011749268,0.014475259929895401
Stupid Car,0.03365045413374901,0.49498704075813293,0.13579849898815155,0.33187270164489746,0.003691271645948291
Faust Arp,0.024120815098285675,0.33499038219451904,0.10496111214160919,0.5298734307289124,0.006054256111383438
Go to Sleep,0.025036754086613655,0.5125607252120972,0.15218082070350647,0.294418603181839,0.01580304652452469
You and Whose Army?,0.3692850172519684,0.10807406902313232,0.15219374001026154,0.3262145519256592,0.044232629239559174
Lucky,0.07352802157402039,0.12138545513153076,0.6244789361953735,0.16370294988155365,0.016904588788747787
Bodysnatchers,0.0390935018658638,0.3671020269393921,0.08954644203186035,0.48276543617248535,0.021492591127753258
MK 1,0.20930799841880798,0.1898932158946991,0.2216971516609192,0.16312775015830994,0.215973898768425
Planet Telex,0.0052664512768387794,0.6833823323249817,0.03762095421552658,0.2697014808654785,0.004028704483062029
Down Is the New Up,0.08240839838981628,0.17720407247543335,0.2063145637512207,0.5108717083930969,0.023201212286949158
Go Slowly,0.08005525916814804,0.1346288025379181,0.2929762303829193,0.29252251982688904,0.19981716573238373
Ill Wind,0.03348013013601303,0.5336179733276367,0.13195142149925232,0.2953692376613617,0.005581232253462076
There There,0.013864094391465187,0.052409082651138306,0.03465612232685089,0.8968361616134644,0.002234429819509387
Let Down,0.03450829163193703,0.17716336250305176,0.08287980407476425,0.6943322420120239,0.011116287671029568
Spectre,0.04550139978528023,0.15946966409683228,0.13809886574745178,0.6442584991455078,0.012671505101025105
Killer Cars,0.0584593340754509,0.3545694947242737,0.19329549372196198,0.3805200457572937,0.013155587017536163
Supercollider,0.44594061374664307,0.08816686272621155,0.136459618806839,0.30047738552093506,0.028955509886145592
Punchdrunk Lovesick Singalong,0.11189934611320496,0.09134483337402344,0.10001302510499954,0.6016477942466736,0.09509503841400146
The Numbers,0.08526427298784256,0.2058262825012207,0.29645422101020813,0.39312833547592163,0.019326861947774887
Prove Yourself,0.02753561921417713,0.3933351933956146,0.2380058765411377,0.3385746479034424,0.002548650838434696
Little by Little,0.030325211584568024,0.507420539855957,0.03336161747574806,0.40169858932495117,0.0271940678358078
Bangers + Mash,0.045974913984537125,0.19500598311424255,0.1231716126203537,0.6305170059204102,0.005330497864633799
Melatonin,0.024801138788461685,0.497694730758667,0.05911049246788025,0.41136792302131653,0.0070257242769002914
Pulk/Pull Revolving Doors,0.03538411110639572,0.31879061460494995,0.15548068284988403,0.47564631700515747,0.01469830609858036
Coke Babies,0.29877835512161255,0.39416271448135376,0.05947434902191162,0.1614116132259369,0.08617301285266876
Separator,0.09651737660169601,0.36536216735839844,0.15463261306285858,0.36782920360565186,0.015658659860491753
Lull,0.09023077040910721,0.22714568674564362,0.13004180788993835,0.4949454665184021,0.05763626471161842
Subterranean Homesick Alien,0.045614004135131836,0.35319435596466064,0.2918117344379425,0.3021968901157379,0.007182941306382418
Pearly*,0.09407073259353638,0.17778603732585907,0.06718567758798599,0.637584924697876,0.023372633382678032
Stop Whispering,0.0076883151195943356,0.8408809900283813,0.04696517810225487,0.10342924296855927,0.0010362364118918777
